,Additions_to_Regular_Salary,Additions_to_Salary__Projected_Expenses,After_School_and_Student_Activities,Ancillary_Support_Services_All_Funds,Assistant_Principals,Attendance__Outreach_Services,Building_Maintenance,Building_Services_All_Funds,Central_Administration_All_Funds,Central_Instructional_Support_All_Funds,Central_Leadership,Classroom_Instruction_All_Funds,Computer_System_Support_School_Level,Contracted_Instructional_Services,Counseling_Services,Custodial_Services,Direct_Services_to_Schools,District,Drug_Prevention_Programs,Education_Paraprofessionals,Energy,Field_Support_All_Funds,Field_Support_Costs,Food_Services,Instructional_Offices,Instructional_Supplies_and_Equipment,Instructional_Support_Srcs_All_Funds,Instructional_Support_and_Administration_All_Funds,LeadershipSupervisionSupport_All_Funds,Leases,Librarians_and_Library_Books,Operational_Offices,Other_Classroom_Staff,Other_Field_Support_Costs_All_Funds,Parent_Involvement_Activities,Principals,Professional_Development,Projected_Expenses,Referral_and_Evaluation_Services_All_Funds,Related_Services,Sabbaticals_Leaves_Termination_Pay,School,School_Safety,Secretaries_School_Aides__Other_Support_Staff,Summer_and_Evening_School,Supervisors,Supplies_Materials_Equipment_Telephones,SystemWide_Costs,Teachers,Text_Books,Title_1,Total,Transportation
M413,2,101,154,681,198,103,434,1477,335,49,37,6686,89,17,543,816,12245,2,101,45,227.0,101,367,123,66,76,2490,270,810,2.0,10,232,4.0,97,221,335,349,1,353,1015,94,M413,303,129,7,9.0,139,384,6074,106,0.0,14196,165
M414,2,85,104,799,345,23,418,1202,339,50,39,7282,89,27,459,583,12011,2,2,7,199.0,85,291,241,67,112,982,275,1660,2.0,145,233,4.0,16,193,524,224,1,51,150,14,M414,303,425,6,224.0,142,388,6533,224,1.0,13890,166
M416,1,125,360,805,37,26,341,7151,332,42,37,8103,89,21,550,997,18847,2,2,10,385.0,125,265,284,62,277,1541,252,1123,5428.0,10,233,35.0,13,162,447,345,1,25,415,11,M416,303,407,93,6.0,225,374,7203,107,0.0,20686,129
M418,8,88,98,793,87,195,332,5804,337,47,39,7171,89,10,749,504,16045,2,0,5,0.0,88,289,212,66,179,1390,280,800,4967.0,6,233,10.0,9,160,380,422,1,21,168,1,M418,303,232,76,6.0,95,385,6358,104,1.0,17919,189
M419,2,76,223,655,784,53,511,2414,343,54,40,7574,89,100,548,752,14816,2,179,105,802.0,76,300,120,70,93,1915,273,2183,348.0,9,233,4.0,27,238,523,470,1,63,612,24,M419,303,652,111,67.0,157,397,6585,98,1.0,16713,142
M420,2,124,193,777,684,96,346,1033,341,49,40,6784,89,22,520,496,11390,2,2,35,190.0,124,400,205,68,105,1218,350,1455,2.0,82,233,162.0,49,74,175,249,1,190,142,47,M420,303,496,60,5.0,95,390,5953,115,1.0,13380,179
M422,8,73,159,1196,5,49,753,2829,341,55,39,10629,89,69,208,1112,22122,2,0,77,964.0,73,303,467,68,2064,1499,294,5896,0.0,7,234,10.0,10,772,2948,607,1,55,255,1,M422,303,2443,147,9.0,491,396,7510,138,1.0,24021,337
M425,3,153,418,862,554,98,386,5497,344,54,40,7334,89,67,689,23,18271,2,0,196,299.0,153,369,246,71,249,2174,347,2250,4789.0,6,234,0.0,22,192,364,448,0,108,670,19,M425,303,1043,59,164.0,126,398,6198,110,1.0,20238,223
M429,2,55,703,851,901,398,365,3055,344,55,40,8992,89,53,643,1033,18434,2,47,36,265.0,55,357,212,71,236,3055,346,2425,1391.0,320,233,4.0,11,174,586,555,1,70,1020,8,M429,303,768,48,10.0,161,399,7602,139,1.0,20390,247
M439,2,163,269,808,409,223,337,4332,340,50,39,7202,89,168,581,1205,15488,2,2,132,284.0,163,338,243,68,193,1463,322,1519,2506.0,214,233,4.0,16,185,550,317,1,45,158,14,M439,303,396,203,7.0,156,390,5835,135,1.0,17415,173
M440,2,96,317,828,333,221,511,1357,344,55,40,8972,89,447,531,621,15515,2,83,27,223.0,96,359,231,70,138,2408,282,1854,2.0,5,234,4.0,77,166,245,414,1,427,661,74,M440,303,1060,109,21.0,195,399,7717,110,1.0,17473,205
M442,2,133,467,962,37,395,328,6166,338,46,39,7379,89,699,29,183,18989,2,2,6,163.0,133,1263,388,66,188,1609,315,2740,5492.0,10,233,4.0,948,608,1226,194,1,25,84,946,M442,303,1380,11,2.0,94,384,6157,110,1.0,21836,182
