,YEAR,LCGGEOX,LCGGEOY,BNLONG
19286,2010,-73.9024,40.83381,X250
19287,2010,-73.9013,40.83928,X252
19288,2010,-73.9024,40.83381,X260
19289,2010,-73.9013,40.83928,X263
19290,2010,-73.8979,40.84142,X276
19291,2010,-73.9044,40.82757,X297
19292,2010,-73.916,40.84912,X303
19293,2010,-73.9046,40.84087,X313
19294,2010,-73.9141,40.83323,X323
19295,2010,-73.9178,40.82868,X324
19296,2010,-73.9143,40.82788,X325
19297,2010,-73.9008,40.83525,X327
19298,2010,-73.9143,40.82788,X328
19299,2010,-73.9109,40.84037,X329
19300,2010,-73.9046,40.84087,X339
19301,2010,-73.916,40.84912,X365
19302,2010,-73.9044,40.82757,X403
19303,2010,-73.9044,40.82757,X404
19304,2010,-73.9109,40.84037,X412
19305,2010,-73.9109,40.84037,X413
19306,2010,-73.9109,40.84037,X414
19307,2010,-73.9178,40.83196,X443
19308,2010,-73.9178,40.82868,X449
19309,2010,-73.9178,40.82868,X454
19310,2010,-73.9178,40.83196,X457
19311,2010,-73.9186,40.82752,X505
19312,2010,-73.9043,40.83355,X517
19313,2010,-73.9031,40.84356,X525
19314,2010,-73.9044,40.82757,X527
19315,2010,-73.9044,40.82757,X543
19317,2010,-73.8922,40.84983,X003
19318,2010,-73.9055,40.88102,X007
19319,2010,-73.8836,40.8725,X008
19320,2010,-73.8993,40.85714,X009
19321,2010,-73.9099,40.85871,X015
19322,2010,-73.8787,40.86998,X020
19323,2010,-73.8948,40.85291,X023
19324,2010,-73.9139,40.88551,X024
19325,2010,-73.8859,40.85204,X032
19326,2010,-73.9016,40.86187,X033
19327,2010,-73.9106,40.88029,X037
19328,2010,-73.8867,40.8591,X045
19329,2010,-73.8906,40.86687,X046
19330,2010,-73.8876,40.87704,X051
19331,2010,-73.888,40.86446,X054
19332,2010,-73.8752,40.87521,X056
19333,2010,-73.8935,40.85287,X059
19334,2010,-73.9034,40.85493,X079
19335,2010,-73.8814,40.8762,X080
19336,2010,-73.9051,40.90353,X081
19337,2010,-73.8947,40.85917,X085
19338,2010,-73.8988,40.86965,X086
19339,2010,-73.9078,40.85817,X091
19340,2010,-73.8756,40.88042,X094
19341,2010,-73.8914,40.8827,X095
19342,2010,-73.8931,40.84843,X118
19343,2010,-73.9131,40.88825,X141
19344,2010,-73.8928,40.8557,X159
19345,2010,-73.8811,40.85554,X205
19346,2010,-73.9064,40.85965,X206
19347,2010,-73.9065,40.87813,X207
19348,2010,-73.8979,40.85679,X209
19349,2010,-73.9121,40.87724,X213
19350,2010,-73.8966,40.85468,X225
19351,2010,-73.9161,40.85653,X226
19352,2010,-73.8914,40.8616,X228
19353,2010,-73.9011,40.87588,X237
19354,2010,-73.8883,40.86001,X243
19355,2010,-73.9011,40.87588,X244
19356,2010,-73.8948,40.86559,X246
19357,2010,-73.8901,40.85876,X254
19358,2010,-73.8982,40.87026,X268
19359,2010,-73.9054,40.8544,X279
19360,2010,-73.8817,40.87705,X280
19361,2010,-73.9121,40.87724,X284
19362,2010,-73.9099,40.85871,X291
19363,2010,-73.9111,40.85176,X306
19364,2010,-73.9014,40.86922,X307
19365,2010,-73.8777,40.88493,X308
19366,2010,-73.9052,40.87282,X310
19367,2010,-73.9041,40.85775,X315
19368,2010,-73.8937,40.84855,X319
19369,2010,-73.9111,40.85176,X331
19370,2010,-73.8973,40.86901,X340
19371,2010,-73.8982,40.87026,X342
