,Additions_to_Salary__Projected_Expenses,After_School_and_Student_Activities,Ancillary_Support_Services_All_Funds,Assistant_Principals,Attendance__Outreach_Services,Building_Maintenance,Building_Services_All_Funds,Central_Administration_All_Funds,Central_Instructional_Support_All_Funds,Classroom_Instruction_All_Funds,Computer_System_Support_School_Level,Contracted_Instructional_Services,Counseling_Services,Custodial_Services,Direct_Services_to_Schools,District,Drug_Prevention_Programs,Education_Paraprofessionals,Energy,Field_Support_All_Funds,Field_Support_Costs,Food_Services,Instructional_Offices,Instructional_Supplies_and_Equipment,Instructional_Support_Srcs_All_Funds,Instructional_Support_and_Administration_All_Funds,LeadershipSupervisionSupport_All_Funds,Leases,Librarians_and_Library_Books,Operational_Offices,Other_Classroom_Staff,Other_Field_Support_Costs_All_Funds,Parent_Involvement_Activities,Principals,Professional_Development,Projected_Expenses,Referral_and_Evaluation_Services_All_Funds,Related_Services,Sabbaticals_Leaves_Termination_Pay,School,School_Safety,Secretaries_School_Aides__Other_Support_Staff,Summer_and_Evening_School,Supervisors,Supplies_Materials_Equipment_Telephones,SystemWide_Costs,Teachers,Text_Books,Title_1,Total,Transportation
X427,102,215,896,1017,172,357,3945,390,87,9078,65,536,1184,643,19871,7,0,5,305,102,288,285,91,103,2926,270,2925,2639.0,129,266,2,18,244,773,642,0,36,1075,18,X427,307,975,206,10,149,477,7395,59,1.0,21781,238
X473,109,556,842,584,119,283,1479,388,84,7542,65,516,649,920,16169,7,0,24,270,109,405,305,89,152,3528,380,2670,6.0,17,265,2,24,188,619,246,0,34,1982,24,X473,307,1068,27,287,111,472,6496,63,1.0,18190,164
X495,96,208,857,247,130,283,1479,385,78,6749,65,72,1286,920,12659,7,0,376,270,96,358,336,87,46,2203,341,1275,6.0,18,264,2,17,175,474,253,0,223,182,17,X495,307,433,63,4,116,463,5828,92,1.0,14625,148
X500,104,512,748,684,25,1028,1585,386,79,8852,65,550,418,414,14589,7,0,216,138,104,308,189,88,79,1324,271,1975,6.0,19,265,2,37,132,435,212,0,46,190,37,X500,307,719,36,5,132,465,7621,117,1.0,16506,187
X520,108,326,1091,1774,211,405,1833,395,96,9588,65,546,1287,963,20386,7,0,10,459,108,378,237,95,229,4039,313,3727,6.0,20,267,2,65,273,777,363,0,544,1397,65,X520,307,1061,23,11,104,491,8310,85,1.0,22400,482
X522,144,577,1078,1174,46,480,1995,389,87,13103,65,495,823,1104,22773,7,0,5,405,144,427,429,90,1786,2232,408,4222,6.0,34,265,2,19,523,1526,785,0,47,216,19,X522,307,792,3,12,718,476,9770,225,1.0,24821,276
X527,147,308,1251,1028,201,210,773,387,83,7874,65,100,764,72,15294,7,0,4,485,147,298,397,89,474,2493,278,2755,6.0,214,265,2,20,170,431,410,0,34,1017,20,X527,307,894,115,8,394,470,6471,83,1.0,17206,482
X547,150,429,972,971,435,203,766,390,88,9166,104,534,981,72,18318,7,151,20,485,150,296,332,91,310,4188,217,3075,6.0,310,265,2,79,239,573,338,0,392,1562,78,X547,307,1427,67,11,94,478,7487,99,1.0,20237,228
X548,174,887,1008,383,629,204,766,386,81,8469,168,78,551,72,14856,7,0,6,485,174,384,332,88,222,2860,364,1580,6.0,18,264,2,20,182,472,198,0,34,576,20,X548,307,614,66,8,102,467,7774,104,1.0,16851,201
X551,141,231,1130,921,497,298,1361,390,88,9409,65,657,280,735,15875,7,0,189,323,141,419,379,91,44,1955,373,1880,6.0,16,266,2,47,145,402,339,0,41,760,47,X551,307,244,47,190,123,478,8037,78,1.0,17917,379
