DBN,Additions_to_Regular_Salary,Additions_to_Salary__Projected_Expenses,After_School_and_Student_Activities,Ancillary_Support_Services_All_Funds,Assistant_Principals,Attendance__Outreach_Services,Building_Maintenance,Building_Services_All_Funds,Central_Administration_All_Funds,Central_Instructional_Support_All_Funds,Central_Leadership,Classroom_Instruction_All_Funds,Computer_System_Support_School_Level,Contracted_Instructional_Services,Counseling_Services,Custodial_Services,Direct_Services_to_Schools,District,Drug_Prevention_Programs,Education_Paraprofessionals,Energy,Field_Support_All_Funds,Field_Support_Costs,Food_Services,Instructional_Offices,Instructional_Supplies_and_Equipment,Instructional_Support_Srcs_All_Funds,Instructional_Support_and_Administration_All_Funds,LeadershipSupervisionSupport_All_Funds,Leases,Librarians_and_Library_Books,Operational_Offices,Other_Classroom_Staff,Other_Field_Support_Costs_All_Funds,Parent_Involvement_Activities,Principals,Professional_Development,Projected_Expenses,Referral_and_Evaluation_Services_All_Funds,Related_Services,Sabbaticals_Leaves_Termination_Pay,School,School_Safety,Secretaries_School_Aides__Other_Support_Staff,Summer_and_Evening_School,Supervisors,Supplies_Materials_Equipment_Telephones,SystemWide_Costs,Teachers,Text_Books,Title_1,Total,Transportation,Name,schoolyear,fl_percent,frl_percent,total_enrollment,ell_percent,sped_percent,asian_per,black_per,hispanic_per,white_per,male_per,female_per,poverty_level,elementary_school,middle_school,high_school
X296,2,170,338,1685,602,463,462,1804,374,83,34,10149,83,353,482,845,19613,7,285.0,67,497,170,253,703,75,242,3883,245,1923,0.0,9,265,2,8,261,768,496,1,1110,944,5,X296,307,407,17,23,123,457,8855,108,1.0,21662,593,SOUTH BRONX ACADEMY FOR APPLIED MEDIA,2011,,89.1,272.0,11.0,28.7,0.4,33.1,64.7,0.0,46.0,54.0,68.5580774366,0,1,0
X298,2,220,769,1815,427,632,462,1804,372,83,34,8856,83,469,475,845,18640,7,0.0,4,497,220,386,535,74,202,3449,335,2496,0.0,38,264,2,50,346,1058,825,1,46,1181,47,X298,307,404,20,415,192,455,7209,87,1.0,20820,891,ACADEMY OF PUBLIC RELATIONS,2011,,95.1,247.0,37.7,22.7,0.0,20.6,79.4,0.0,54.7,45.3,87.4499332443,0,1,0
X321,2,337,366,792,1190,1189,178,202,367,71,34,9872,83,143,850,20,19307,7,0.0,1,3,337,326,245,70,35,3197,271,4907,1.0,9,263,2,55,556,1745,224,1,22,215,52,X321,307,1827,128,5,140,438,9226,104,1.0,21410,157,CROTONA ACADEMY HIGH SCHOOL,2011,,73.3,132.0,3.0,8.3,0.8,43.9,52.3,3.0,40.2,59.8,28.9052069426,0,0,1
X334,2,73,295,1005,500,838,419,1530,368,75,34,8351,83,388,246,714,15671,7,0.0,207,396,73,285,420,70,268,2324,277,2388,1.0,10,264,2,7,250,599,670,1,13,683,4,X334,307,619,72,281,387,443,6637,97,1.0,17737,195,INTERNATIONAL COMMUNITY HIGH SCHOOL,2011,,95.1,371.0,89.5,2.2,4.3,23.7,68.7,3.0,52.0,48.0,87.4499332443,0,0,1
X343,2,116,281,1520,677,368,419,1527,374,85,34,8195,83,181,561,712,19155,7,0.0,195,396,116,314,592,75,182,5025,303,2772,0.0,19,264,2,11,501,818,562,1,571,2743,8,X343,307,675,20,468,134,458,6937,99,1.0,21266,539,ACADEMY OF APPLIED MATHEMATICS AND TECHNOLOGY,2011,,94.5,244.0,15.2,26.6,0.4,28.7,70.5,0.4,49.2,50.8,85.046728972,0,1,0
X369,2,195,155,2172,547,188,272,916,370,84,34,9189,83,183,449,536,17685,7,0.0,501,108,195,488,747,72,174,2812,310,2401,0.0,9,264,2,177,217,657,461,1,36,1768,174,X369,307,892,8,9,296,454,7726,124,1.0,19965,1036,YOUNG LEADERS ELEMENTARY SCHOOL,2011,,96.1,296.0,30.1,17.9,0.0,16.2,78.7,3.7,53.7,46.3,91.7222963952,1,0,0
X379,2,57,386,728,788,717,462,1807,368,71,34,7858,83,287,647,846,15016,7,0.0,1,497,57,279,174,70,535,1853,271,2713,1.0,4,263,2,8,12,1070,195,1,23,67,5,X379,307,714,28,5,135,439,6720,86,1.0,17072,165,JILL CHAIFETZ TRANSFER HIGH SCHOOL,2011,,88.8,204.0,4.4,9.3,0.5,35.8,62.7,0.5,38.2,61.8,67.7570093458,0,0,1
X381,2,34,616,862,1141,25,526,2323,368,71,34,8707,83,870,701,1094,17375,7,0.0,10,702,34,591,242,70,361,1891,248,3558,1.0,23,263,2,343,443,1545,690,1,42,64,340,X381,307,488,240,5,378,439,6430,81,1.0,19743,231,BRONX HAVEN HIGH SCHOOL,2011,,85.5,138.0,9.4,2.2,0.7,37.7,60.9,0.7,34.8,65.2,57.4098798398,0,0,1
X385,4,285,669,2528,656,26,252,1062,372,87,34,10939,83,162,475,574,22535,7,0.0,791,236,285,440,818,74,51,5962,269,1759,0.0,213,264,2,171,235,413,397,1,911,3646,166,X385,307,597,6,12,81,459,9259,59,1.0,24773,1321,PERFORMANCE SCHOOL,2011,,90.8,605.0,23.5,22.8,0.5,36.4,61.0,1.8,53.7,46.3,73.8985313752,1,0,0
X427,2,130,173,868,1035,356,412,2971,374,82,34,9018,83,431,1029,604,18542,7,0.0,2,244,130,280,254,75,77,2713,273,2841,1712.0,114,264,2,7,235,727,675,1,41,880,4,X427,307,863,55,14,201,456,7558,104,1.0,20616,224,COMMUNITY SCHOOL FOR SOCIAL JUSTICE,2011,,94.4,332.0,11.7,19.9,0.3,36.1,62.7,0.9,43.7,56.3,84.779706275,0,0,1
X473,2,101,403,847,639,112,621,2127,372,79,34,7268,83,181,753,1070,16091,7,0.0,5,434,101,381,294,74,215,3131,356,2618,1.0,8,263,2,24,182,596,556,1,41,1641,21,X473,307,964,5,285,133,451,6214,82,1.0,18261,163,MOTT HAVEN VILLAGE PREPARATORY HIGH SCHOOL,2011,,82.6,362.0,11.0,20.2,0.8,25.4,73.2,0.0,51.9,48.1,49.3324432577,0,0,1
X495,2,97,228,1007,428,137,621,2127,370,74,34,7080,83,152,1469,1070,14128,7,0.0,378,434,97,430,423,71,77,2242,315,1576,1.0,7,264,2,115,178,480,339,1,42,188,112,X495,307,480,89,6,182,444,5945,91,1.0,16341,194,UNIVERSITY HEIGHTS SECONDARY SCHOOL AT BRONX COM,2011,,93.8,440.0,5.7,5.7,1.4,13.6,82.5,1.1,43.0,57.0,82.9105473965,0,0,1
X500,2,91,594,845,627,24,178,202,369,74,34,7203,83,165,497,20,11765,7,0.0,47,3,91,263,91,72,55,1503,251,1921,1.0,10,263,2,12,126,380,415,1,31,230,9,X500,307,683,80,7,224,443,6295,135,1.0,13810,365,HOSTOSLINCOLN ACADEMY OF SCIENCE,2011,,76.2,600.0,6.2,12.2,1.8,25.0,72.0,0.7,44.5,55.5,33.2443257677,0,1,1
X520,2,172,306,989,1376,121,476,1756,376,85,34,8296,83,189,1175,752,17460,7,0.0,2,526,172,378,285,76,154,3343,249,2903,1.0,10,265,2,129,322,601,248,1,437,982,126,X520,307,813,17,11,102,460,7578,96,1.0,19637,314,FOREIGN LANGUAGE ACADEMY OF GLOBAL STUDIES,2011,,93.8,394.0,17.3,21.1,2.8,26.1,69.5,0.8,45.2,54.8,82.9105473965,0,0,1
X527,2,94,272,986,1049,163,193,620,370,77,34,7846,83,145,764,423,14436,7,0.0,14,3,94,283,307,73,255,2192,269,2697,1.0,198,263,2,14,175,430,297,1,62,757,12,X527,307,1058,92,11,150,447,6762,82,1.0,16504,289,BRONX LEADERSHIP ACADEMY II HIGH SCHOOL,2011,,68.2,480.0,13.3,20.4,0.8,40.4,57.9,0.4,52.3,47.7,23.0974632844,0,0,1
X547,2,179,473,905,1022,538,191,619,373,81,34,9436,83,411,991,423,18665,7,0.0,3,3,179,247,379,75,150,4114,223,3412,1.0,339,264,2,24,300,613,710,1,418,1394,21,X547,307,1519,53,11,246,453,7621,147,1.0,20704,137,NEW EXPLORERS HIGH SCHOOL,2011,,93.2,342.0,14.6,20.5,0.3,28.9,69.6,0.3,55.3,44.7,81.308411215,0,0,1
X548,2,207,710,910,708,791,191,619,370,76,34,8530,83,181,612,423,15401,7,0.0,4,3,207,515,352,73,458,2868,368,2267,1.0,9,263,2,147,203,620,460,1,39,513,144,X548,307,749,230,10,179,447,7062,124,1.0,17701,168,ACADEMY FOR CAREERS IN SPORTS,2011,,83.0,424.0,5.2,19.3,0.7,23.6,71.7,0.0,83.5,16.5,50.2670226969,0,0,1
