DBN,Additions_to_Regular_Salary,Additions_to_Salary__Projected_Expenses,After_School_and_Student_Activities,Ancillary_Support_Services_All_Funds,Assistant_Principals,Attendance__Outreach_Services,Building_Maintenance,Building_Services_All_Funds,Central_Administration_All_Funds,Central_Instructional_Support_All_Funds,Central_Leadership,Classroom_Instruction_All_Funds,Computer_System_Support_School_Level,Contracted_Instructional_Services,Counseling_Services,Custodial_Services,Direct_Services_to_Schools,District,Drug_Prevention_Programs,Education_Paraprofessionals,Energy,Field_Support_All_Funds,Field_Support_Costs,Food_Services,Instructional_Offices,Instructional_Supplies_and_Equipment,Instructional_Support_Srcs_All_Funds,Instructional_Support_and_Administration_All_Funds,LeadershipSupervisionSupport_All_Funds,Leases,Librarians_and_Library_Books,Operational_Offices,Other_Classroom_Staff,Other_Field_Support_Costs_All_Funds,Parent_Involvement_Activities,Principals,Professional_Development,Projected_Expenses,Referral_and_Evaluation_Services_All_Funds,Related_Services,Sabbaticals_Leaves_Termination_Pay,School,School_Safety,Secretaries_School_Aides__Other_Support_Staff,Summer_and_Evening_School,Supervisors,Supplies_Materials_Equipment_Telephones,SystemWide_Costs,Teachers,Text_Books,Title_1,Total,Transportation,Name,schoolyear,fl_percent,frl_percent,total_enrollment,ell_percent,sped_percent,asian_per,black_per,hispanic_per,white_per,male_per,female_per,poverty_level,elementary_school,middle_school,high_school
K029,2,111,129,1108,482,25,275,799,360,67,34,8096,83,49,123,522,13542,15,0.0,218,3,111,314,283,66,97,1901,282,1527,0.0,13,260,2,32,140,334,226,1,452,1031,29,K029,307,522,183,8,180,428,7224,84,0.0,15622,435,PS 029 JOHN M HARRIGAN,2011,,24.1,679.0,3.4,12.5,9.6,7.8,17.5,62.4,48.7,51.3,2.87049399199,1,0,0
K032,2,436,800,4126,572,378,686,2688,377,94,34,12605,83,163,1368,1342,42995,15,0.0,1465,660,436,316,824,77,366,20252,292,2889,0.0,389,265,2,24,542,699,2461,1,1274,15888,22,K032,307,1004,123,471,143,471,7238,398,1.0,45121,2912,PS 032 SAMUELS MILLS SPROLE,2011,,77.9,289.0,10.7,39.4,3.8,27.3,44.6,23.2,62.3,37.7,36.8491321762,1,0,0
K038,2,170,270,1790,395,304,232,1300,369,81,34,9448,83,190,302,879,17156,15,0.0,808,189,170,344,742,71,141,2888,288,1560,0.0,13,263,2,56,141,439,409,1,506,1365,53,K038,307,562,14,40,124,450,7744,128,1.0,19288,658,PS 038 THE PACIFIC,2011,,75.1,471.0,9.6,17.4,3.4,42.9,34.8,17.4,51.2,48.8,31.1748998665,1,0,0
K039,2,186,193,956,69,24,546,1266,360,66,34,8810,83,58,687,401,14618,15,0.0,287,158,186,284,202,65,233,1718,242,1682,161.0,12,260,2,42,214,594,158,1,52,548,39,K039,461,570,18,308,142,426,7820,222,0.0,16666,211,PS 039 HENRY BRISTOW,2011,,33.7,360.0,5.3,10.8,5.8,14.2,24.2,55.8,46.1,53.9,5.27369826435,1,0,0
K051,2,53,198,808,369,24,343,1180,359,61,34,7178,83,48,468,547,11764,15,0.0,113,290,53,313,94,65,49,1593,299,952,0.0,120,260,2,15,87,211,222,1,191,626,12,K051,307,259,26,6,106,420,6503,96,0.0,13836,324,JHS 051 WILLIAM ALEXANDER,2011,,39.3,1081.0,1.4,9.4,13.7,11.6,32.1,36.4,43.3,56.7,6.87583444593,0,1,0
K058,2,98,42,1179,269,30,283,1369,361,69,34,8537,83,55,322,707,15309,15,0.0,441,378,98,249,306,67,163,2916,215,1209,0.0,46,260,2,35,113,287,381,1,406,2003,31,K058,307,453,29,66,134,430,7366,55,0.0,17327,483,PS 058 THE CARROLL,2011,,19.5,791.0,5.8,15.5,6.7,6.6,19.2,64.1,49.4,50.6,1.80240320427,1,0,0
K088,2,169,218,1563,778,26,433,1676,373,83,34,9521,83,131,330,782,18389,15,0.0,52,460,169,491,422,74,291,3600,330,1860,0.0,163,264,2,161,122,257,536,1,645,2260,158,K088,307,453,161,264,107,456,8080,104,1.0,20675,751,JHS 088 PETER ROUGET,2011,,84.2,898.0,11.9,27.1,15.0,13.4,61.1,8.8,58.7,41.3,53.8718291055,0,1,0
K094,2,142,249,1116,314,30,204,536,367,78,34,8312,83,139,171,325,12581,15,0.0,137,7,142,252,577,69,682,1167,207,1310,0.0,10,264,2,45,69,182,424,2,284,364,41,K094,307,614,49,62,138,445,6813,56,1.0,14617,149,PS 094 THE HENRY LONGFELLOW,2011,,90.8,1268.0,53.5,6.0,48.2,0.7,47.2,3.9,51.2,48.8,73.8985313752,1,0,0
K107,2,117,445,971,69,24,279,1269,360,67,34,8682,83,46,151,730,14226,15,0.0,202,259,117,289,392,66,439,2224,246,962,0.0,20,260,2,43,276,429,312,1,440,887,40,K107,307,367,7,8,90,427,7491,163,0.0,16280,189,PS 107 JOHN W KIMBALL,2011,,20.3,519.0,1.0,13.3,5.2,6.9,16.0,63.2,49.9,50.1,2.00267022697,1,0,0
K124,2,238,113,1994,507,30,950,1769,369,80,34,9645,83,132,458,583,17442,15,0.0,625,236,238,222,794,70,113,2118,211,1678,0.0,460,264,2,11,245,602,594,1,160,1111,8,K124,307,379,175,64,127,449,7464,80,1.0,19452,810,PS 124 SILAS B DUTCHER,2011,,95.7,346.0,19.9,12.4,10.1,13.3,60.4,16.2,47.7,52.3,90.1201602136,1,0,0
K130,2,183,59,1588,348,30,304,1285,369,80,34,8770,83,192,513,711,15423,15,0.0,189,271,183,322,850,71,73,2283,286,1313,0.0,9,264,2,36,161,362,758,1,343,1177,33,K130,391,510,39,8,85,450,7453,55,1.0,17533,265,PS 130 THE PARKSIDE,2011,,96.2,588.0,9.5,13.3,23.1,15.6,31.0,27.7,52.7,47.3,92.3230974633,1,0,0
K131,2,174,195,1178,410,30,181,700,368,79,34,8561,83,106,242,422,13518,15,75.0,209,97,174,250,623,70,500,1661,211,1244,0.0,134,264,2,39,209,253,641,1,375,534,35,K131,307,408,66,62,110,447,6849,54,1.0,15553,165,PS 131 BROOKLYN,2011,,94.7,980.0,40.7,9.1,31.2,1.6,59.9,7.2,51.7,48.3,85.6475300401,1,0,0
K136,2,151,144,1245,1038,454,326,1390,374,84,34,12005,83,627,361,664,19792,15,0.0,97,400,151,569,598,74,862,2182,374,2818,0.0,125,265,2,195,178,431,1003,1,169,876,192,K136,307,692,246,497,160,457,8987,57,1.0,22157,257,IS 136 CHARLES O DEWEY,2011,,93.1,498.0,39.2,21.5,6.6,3.0,84.9,5.2,53.0,47.0,80.5073431242,0,1,0
K146,2,110,115,2405,329,101,300,1124,363,72,34,8740,83,146,167,505,17730,15,0.0,255,320,110,317,219,69,64,4312,299,1039,0.0,106,260,2,19,132,363,655,1,574,3222,16,K146,396,250,17,13,83,435,7410,86,0.0,19821,1707,PS 146,2011,,25.8,619.0,3.4,23.4,7.6,33.1,22.3,36.2,50.1,49.9,3.33778371162,1,0,0
K154,2,114,49,1022,428,179,332,1507,360,67,34,8698,83,71,160,849,15244,15,0.0,151,326,114,270,335,66,188,2377,246,1527,0.0,12,260,2,24,234,462,273,1,352,1403,21,K154,307,513,19,8,116,428,7913,71,0.0,17281,298,PS 154 WINDSOR TERRACE,2011,,29.4,435.0,6.4,12.6,8.3,6.4,23.7,57.7,47.8,52.2,4.1388518024,1,0,0
K169,2,202,224,1347,453,30,183,535,370,81,34,8879,83,207,239,350,14084,15,57.0,495,3,202,233,746,70,318,1723,213,1398,0.0,13,265,2,20,162,184,499,1,340,670,16,K169,307,568,26,63,129,451,7263,56,1.0,16107,212,PS 169 SUNSET PARK,2011,,92.7,1351.0,43.5,10.1,44.5,0.9,49.3,5.3,53.1,46.9,79.4392523364,1,0,0
K172,2,189,516,1257,599,111,286,1399,371,84,34,8823,83,163,272,790,15999,15,0.0,153,323,189,366,645,73,393,2770,299,1561,0.0,13,264,2,66,234,392,735,1,580,1057,63,K172,307,473,31,11,85,455,7245,89,1.0,18158,222,PS 172 BEACON SCH OF EXCELLEN,2011,,91.0,599.0,29.9,19.7,2.5,2.5,81.3,13.0,49.2,50.8,74.4993324433,1,0,0
K230,2,142,92,1528,316,83,284,1727,368,79,34,9241,83,100,162,605,15943,15,0.0,174,253,142,305,685,70,105,2346,290,959,585.0,96,263,2,15,148,179,345,1,399,1462,12,K230,307,344,19,22,97,447,8330,69,1.0,18034,453,PS 230 DORIS L COHEN,2011,,77.9,1286.0,34.5,14.0,45.4,2.6,29.9,21.5,50.1,49.9,36.8491321762,1,0,0
K261,2,131,39,1720,438,24,224,781,365,76,34,8283,83,82,219,498,14751,15,0.0,226,59,131,331,420,70,63,2586,295,1251,0.0,13,261,2,36,91,272,465,1,434,1778,33,K261,307,408,25,13,119,441,7352,55,1.0,16861,910,PS 261 PHILIP LIVINGSTON,2011,,35.4,821.0,9.6,19.0,4.8,30.9,25.8,34.8,51.6,48.4,5.74098798398,1,0,0
K295,2,150,45,1469,456,24,208,679,370,83,34,9978,83,106,380,468,18246,15,0.0,217,3,150,278,577,72,138,4406,265,1565,0.0,13,263,2,13,214,528,605,1,910,2832,11,K295,307,464,23,12,105,453,8819,56,1.0,20315,502,PS 295,2011,,69.4,390.0,17.2,22.8,4.9,9.7,51.3,32.3,50.8,49.2,24.8331108144,1,0,0
K321,2,125,22,708,419,59,181,545,360,67,34,7824,83,45,269,303,12242,15,0.0,61,60,125,310,127,66,64,2009,281,1031,0.0,126,260,2,28,65,173,197,1,392,1203,25,K321,307,253,20,9,177,427,7219,90,0.0,14317,191,PS 321 WILLIAM PENN,2011,,12.7,1376.0,2.0,11.8,6.5,10.0,11.4,68.0,50.7,49.3,1.00133511348,1,0,0
K429,2,127,515,854,1000,231,286,1483,374,82,34,11413,83,724,1048,721,20745,15,182.0,4,474,127,254,244,76,1038,4148,213,2719,1.0,146,264,2,41,265,577,2100,1,437,1471,38,K429,307,626,141,280,236,456,7066,192,1.0,22794,220,BROOKLYN SCHOOL FOR GLOBAL STUDIES,2011,,70.5,424.0,5.0,25.7,1.4,52.1,41.7,3.5,52.8,47.2,25.9012016021,0,1,1
K442,2,160,684,1907,525,243,686,2688,380,97,34,15640,83,169,710,1342,26755,15,0.0,321,660,160,446,452,81,184,3974,352,2385,0.0,13,264,2,94,434,1044,1396,1,117,1786,91,K442,307,698,84,24,95,476,13414,58,1.0,29015,1066,NEW HORIZONS SCHOOL,2011,,83.2,193.0,8.8,51.3,0.5,40.9,47.7,8.8,56.0,44.0,50.867823765,0,1,0
K443,2,61,92,923,492,24,208,679,368,75,34,8913,83,106,293,468,13689,15,0.0,7,3,61,257,309,71,193,1841,245,1272,0.0,13,262,2,12,152,453,466,1,67,1212,9,K443,307,206,31,21,100,442,8004,91,1.0,15727,224,NEW VOICES S. OF ACAD. & CREAT,2011,,56.8,486.0,1.6,20.0,3.9,15.8,49.2,29.6,34.0,66.0,14.2189586115,0,1,0
K447,2,74,464,1173,691,73,445,1558,361,65,34,7581,83,150,700,722,18358,15,0.0,3,391,74,291,218,67,87,6006,276,1966,0.0,14,260,2,15,146,430,683,1,63,4561,12,K447,307,334,16,363,148,427,6556,72,0.0,20414,565,THE UPPER CARROLL SCHOOL,2011,,33.5,502.0,2.0,17.1,10.6,27.7,23.9,36.1,53.0,47.0,5.20694259012,0,1,0
K448,2,43,205,1065,566,233,300,1127,374,83,34,10004,83,204,750,506,16718,15,0.0,7,320,43,318,243,76,96,2902,300,1576,1.0,88,263,2,18,165,350,616,1,219,1331,15,K448,307,516,16,18,127,457,8882,94,1.0,18831,432,BROOKLYN SECONDARY SCHOOL FOR COLLABORATIVE STUD,2011,,67.5,697.0,5.0,30.8,4.0,34.0,47.2,13.5,58.8,41.2,22.6301735648,0,1,1
K462,2,134,220,1064,454,173,355,2342,371,76,34,8226,83,99,560,1061,16316,15,146.0,41,925,134,474,252,72,170,2750,293,1801,1.0,81,264,2,181,261,411,543,1,426,964,178,K462,307,737,30,9,191,446,7165,93,1.0,18575,422,SECONDARY SCHOOL FOR LAW,2011,,70.5,522.0,4.2,14.9,2.1,63.8,29.1,5.0,40.0,60.0,25.9012016021,0,0,1
K463,2,153,197,1097,504,41,355,2342,372,79,34,9582,83,398,694,1061,17868,15,0.0,399,925,153,320,227,74,223,2269,297,2424,1.0,103,264,2,23,184,628,326,1,62,1091,20,K463,307,855,315,272,166,451,7725,91,1.0,19978,480,SECONDARY SCHOOL FOR JOURNALISM,2011,,81.1,389.0,18.8,15.9,8.2,41.1,45.2,5.1,42.2,57.8,45.1935914553,0,1,1
K464,2,113,147,1098,419,403,355,2342,373,81,34,9148,83,419,672,1061,16466,15,0.0,175,925,113,318,247,74,178,1965,300,1799,1.0,101,264,2,18,402,540,877,1,66,275,15,K464,307,455,6,274,111,454,7291,99,1.0,18577,461,SECONDARY SCHOOL FOR RESEARCH,2011,,86.7,426.0,8.7,18.3,6.3,35.4,51.2,6.3,54.0,46.0,60.6809078772,0,1,1
K497,2,132,393,872,1103,462,286,1483,372,76,34,8828,83,495,856,721,16850,15,0.0,118,474,132,321,292,73,351,2964,298,2570,1.0,118,265,2,23,188,480,519,1,65,1001,19,K497,307,862,80,11,114,448,7082,63,1.0,18957,190,SCHOOL FOR INTERNATIONAL STUDIES,2011,,76.9,481.0,14.3,16.8,4.0,39.9,41.2,14.6,52.6,47.4,35.1802403204,0,1,1
K519,2,139,395,764,1030,399,221,1529,372,79,34,9419,83,406,836,900,17523,15,107.0,333,407,139,326,140,74,372,3561,303,2111,1.0,184,264,2,23,302,339,1111,1,517,1005,20,K519,307,627,44,11,105,452,6870,96,1.0,19639,234,COBBLE HILL SCHOOL OF AMERICAN STUDIES,2011,,76.5,677.0,5.8,20.7,1.8,72.4,21.6,3.8,40.5,59.5,34.1121495327,0,0,1
K520,2,249,992,799,629,1505,275,5171,368,72,34,9629,83,404,659,741,22968,15,0.0,1,328,249,325,214,70,412,3846,278,3274,3827.0,13,264,2,46,333,1218,322,1,48,310,43,K520,307,1244,36,5,178,440,8304,135,1.0,25071,195,PACIFIC HIGH SCHOOL,2011,,72.0,204.0,0.5,8.8,0.0,82.8,16.2,1.0,50.0,50.0,27.1028037383,0,0,1
K529,2,54,434,777,895,472,2151,6577,365,65,34,10041,83,576,544,895,22088,15,0.0,1,316,54,451,217,67,144,1970,211,2669,3215.0,23,263,2,240,230,1101,693,1,35,255,237,K529,307,420,139,2,251,430,8374,90,1.0,24308,170,WEST BROOKLYN COMMUNITY HIGH SCHOOL,2011,,58.6,208.0,3.4,0.5,11.1,9.6,64.4,14.9,63.5,36.5,14.8197596796,0,0,1
K530,2,151,486,954,625,700,318,1550,374,81,34,7930,83,430,1038,872,16792,15,0.0,13,359,151,392,378,75,146,3464,334,2742,1.0,15,265,2,58,249,823,823,1,64,928,55,K530,307,755,35,13,526,455,6366,100,1.0,18977,186,METROPOLITAN CORPORATE ACADEMY HIGH SCHOOL,2011,,79.4,290.0,2.4,17.6,1.4,79.7,16.9,1.0,51.7,48.3,40.7209612817,0,0,1
K656,2,24,230,804,1306,179,445,1561,366,69,34,7046,83,91,681,723,13903,15,0.0,3,391,24,303,199,69,26,1583,277,2886,1.0,12,263,2,26,122,356,167,1,48,323,23,K656,307,792,11,6,425,435,6625,110,1.0,15980,215,BROOKLYN HIGH SCHOOL OF THE ARTS,2011,,64.1,669.0,0.1,7.5,1.9,75.2,19.6,2.7,37.4,62.6,20.2937249666,0,0,1
K667,2,86,439,1050,510,90,180,886,374,82,34,8127,83,133,513,702,14063,15,0.0,3,3,86,341,402,75,453,2113,328,1802,1.0,172,265,2,13,101,344,634,1,69,900,10,K667,307,788,45,11,149,456,6433,253,1.0,16198,258,SUNSET PARK HIGH SCHOOL,2011,,84.9,693.0,13.1,21.9,4.5,6.9,80.1,8.2,48.6,51.4,55.6742323097,0,0,1
K676,2,103,496,2293,864,24,273,1261,372,86,34,10644,83,113,219,986,19889,15,0.0,231,3,103,344,759,74,323,2798,331,2790,0.0,28,264,2,13,28,1053,391,1,75,1955,10,K676,307,658,70,13,203,457,9274,212,1.0,22028,1144,RED HOOK NEIGHBORHOOD SCHOOL,2011,,86.8,185.0,12.4,26.5,3.2,54.1,41.1,0.0,54.1,45.9,60.9479305741,1,0,0
K698,2,114,236,817,967,1475,179,4335,367,70,34,8598,83,598,285,20,20228,15,0.0,2,3,114,251,276,70,170,2663,222,3701,4133.0,12,263,2,29,553,1328,489,19,45,70,7,K698,307,956,146,17,433,438,7095,84,1.0,22255,152,SOUTH BROOKLYN COMMUNITY HIGH SCHOOL,2011,,76.6,161.0,2.5,5.6,1.9,21.1,70.2,6.2,44.1,55.9,34.5126835781,0,0,1
K821,2,96,230,1168,404,24,326,1389,372,80,34,8581,83,288,310,663,14623,15,0.0,129,400,96,292,463,73,262,1592,280,1797,0.0,112,264,2,12,171,448,555,1,351,505,9,K821,339,644,5,207,94,452,7158,70,1.0,16706,283,SUNSET PARK PREP,2011,,92.3,500.0,11.4,17.6,9.4,4.2,83.6,2.4,50.6,49.4,78.7716955941,0,1,0
K005,2,227,270,2462,240,152,331,1284,372,83,34,10555,83,168,686,744,20443,16,0.0,454,208,227,356,1037,72,109,4170,216,1746,0.0,443,265,2,140,127,495,560,2,795,2139,136,K005,307,794,5,65,152,455,8725,89,1.0,22592,1035,PS 005 DR. RONALD MCNAIR,2011,,88.3,439.0,3.6,15.5,0.9,82.2,13.0,3.4,50.3,49.7,65.4205607477,1,0,0
K021,2,158,271,1278,342,289,383,1137,369,80,34,8536,83,125,440,596,14340,16,0.0,333,158,158,481,580,71,51,2040,308,1190,0.0,200,264,2,173,127,320,431,1,225,688,170,K021,307,415,17,8,105,449,7315,63,1.0,16608,309,PS 021 CRISPUS ATTUCKS,2011,,85.7,684.0,0.1,11.8,0.6,92.4,5.8,0.4,44.2,55.8,57.9439252336,1,0,0
K025,2,211,374,2020,1103,183,559,1875,371,83,34,12922,83,211,847,923,25349,16,0.0,653,393,211,677,904,72,521,4479,471,3842,0.0,119,265,2,206,193,592,1526,1,1129,1753,204,K025,307,1350,23,10,786,454,9749,119,1.0,27819,726,PS 025 EUBIE BLAKE SCHOOL,2011,,96.7,334.0,4.8,14.7,0.3,79.9,18.6,0.9,48.8,51.2,93.1909212283,1,0,0
K026,2,157,200,2059,551,29,445,1507,371,84,34,10175,83,245,305,661,18269,16,0.0,277,401,157,230,692,73,161,2332,219,2039,0.0,8,264,2,11,172,585,1341,1,417,1208,8,K026,307,695,16,66,141,455,8073,53,1.0,20292,977,PS 026 JESSE OWENS,2011,,94.2,348.0,4.3,18.7,1.7,76.7,18.7,1.7,54.6,45.4,83.91188251,1,0,0
K028,2,198,431,2194,1360,642,381,3424,370,81,34,11623,83,238,391,20,23997,16,0.0,420,3,198,328,862,71,309,3249,317,3309,3021.0,13,264,2,11,181,808,632,1,238,1366,8,K028,307,1003,62,7,131,451,9884,63,1.0,26114,942,PS 028 THE WARREN,2011,,91.6,251.0,5.6,10.8,7.6,77.7,11.6,3.2,57.4,42.6,76.1682242991,1,0,0
K035,2,162,344,1715,731,600,528,2588,372,80,34,9211,83,177,593,1516,21555,16,0.0,279,544,162,318,742,73,177,5217,303,2662,0.0,503,265,2,15,351,957,1403,5,875,2454,8,K035,307,458,5,396,120,453,6609,56,1.0,23665,583,PS 035 STEPHEN DECATUR,2011,,83.5,229.0,0.4,20.5,0.0,88.2,9.2,1.3,47.6,52.4,51.8691588785,0,1,0
K040,2,153,123,1898,500,24,349,2350,371,83,34,8847,83,147,713,1267,18253,16,0.0,724,735,153,364,705,72,115,3269,323,1737,0.0,276,265,2,41,235,574,196,1,476,1699,38,K040,307,546,204,9,109,454,7127,55,1.0,20409,803,PS 040 GEORGE W CARVER,2011,,95.8,383.0,3.7,14.4,1.8,82.2,12.5,2.1,52.5,47.5,90.520694259,1,0,0
K057,2,157,520,999,816,206,310,1703,371,79,34,10966,83,192,66,1015,20110,16,0.0,3,378,157,324,295,73,129,2752,314,3531,0.0,448,265,2,11,290,875,1252,1,66,1604,8,K057,307,1001,381,519,322,451,8484,77,1.0,22224,314,JHS 057 WHITELAW REID,2011,,88.3,240.0,1.7,17.9,0.0,80.0,19.6,0.4,46.3,53.8,65.4205607477,0,1,0
K081,2,190,271,3122,419,290,222,1559,374,87,34,11944,83,153,320,993,22304,16,136.0,1055,344,190,334,1183,74,244,4097,242,1393,0.0,13,265,2,92,191,469,1785,1,1101,1788,89,K081,307,410,94,13,82,462,8544,55,1.0,24438,1549,PS 081 THADDEUS STEVENS,2011,,93.8,448.0,7.4,23.0,0.7,67.6,30.6,0.7,52.5,47.5,82.9105473965,1,0,0
K243,2,374,268,2043,559,176,397,1684,371,84,34,11840,83,182,408,1108,23498,16,0.0,314,179,374,497,841,73,113,5484,480,2073,0.0,334,264,2,18,207,555,915,1,1238,3188,15,K243,307,856,39,15,87,456,9870,71,1.0,25789,812,PS 243 WEEKSVILLE,2011,,96.3,369.0,2.4,20.3,0.8,80.5,16.8,0.8,49.3,50.7,92.4566088117,1,0,0
K262,2,255,208,1912,505,24,398,2250,373,85,34,9890,83,244,427,1170,18782,16,0.0,116,682,255,512,794,73,280,2608,475,1867,0.0,13,265,2,37,214,549,789,1,629,1106,34,K262,307,714,18,9,90,458,8367,62,1.0,21091,728,PS 262 EL HAJJ MALIK SHABAZZ,2011,,95.7,388.0,1.8,16.8,1.8,86.9,11.3,0.0,48.5,51.5,90.1201602136,1,1,0
K267,3,204,351,1691,351,77,686,2125,375,85,34,11032,83,441,484,943,22304,16,0.0,508,496,204,502,579,75,222,4163,306,3089,0.0,8,265,2,196,264,757,907,1,493,2495,192,K267,307,1413,217,409,159,460,8641,87,1.0,24604,722,MS 267 MATH SCIENCE & TECH,2011,,94.3,277.0,9.0,22.7,2.2,77.3,18.8,0.4,52.3,47.7,84.2456608812,0,1,0
K308,2,210,189,1774,616,22,284,1730,371,79,34,10298,83,135,673,911,19608,16,20.0,426,535,210,337,562,72,59,3997,314,1600,0.0,9,264,2,23,285,325,435,1,549,2260,21,K308,307,555,7,10,94,450,9142,83,1.0,21734,822,PS 308 CLARA CARDWELL,2011,,81.0,649.0,4.0,18.2,1.2,83.4,12.5,1.4,47.8,52.2,44.8598130841,1,1,0
K309,2,360,138,2405,527,663,252,1149,370,83,34,13457,83,219,428,705,23947,16,0.0,904,192,360,227,806,72,87,4159,217,2418,0.0,361,264,141,10,215,598,1059,1,693,2021,7,K309,307,1108,5,66,119,453,10577,104,1.0,25966,1210,PS 309 GEORGE E WIBECAN,2011,,89.7,330.0,5.8,16.1,4.8,69.4,24.8,0.3,53.6,46.4,70.694259012,1,0,0
K335,2,281,131,2497,503,305,221,1010,374,87,34,10909,83,150,934,648,21047,16,181.0,312,140,281,437,699,74,76,4489,334,1861,0.0,318,265,2,102,195,515,1491,1,730,2012,99,K335,307,745,6,13,85,461,8498,57,1.0,23283,1409,PS 335 GRANVILLE T WOODS,2011,,99.5,432.0,2.8,21.8,0.9,83.1,13.9,1.2,50.2,49.8,98.9319092123,1,0,0
K385,2,165,133,1515,863,172,310,1629,375,88,34,12506,83,146,1336,942,23946,16,0.0,205,378,165,407,612,77,92,4994,342,3137,0.0,14,264,2,65,302,1032,664,1,1105,1946,62,K385,307,1098,10,17,127,464,11288,87,1.0,26156,513,SCHOOL OF BUSINESS FINANCE & ENTREPRENEURSHIP,2011,,78.6,225.0,6.7,34.7,0.4,79.1,20.0,0.4,56.4,43.6,38.4512683578,0,1,0
K393,2,90,298,945,127,252,445,1505,371,78,34,9436,83,131,573,657,15844,16,0.0,6,402,90,381,325,73,98,2833,333,1034,1.0,243,264,2,48,343,412,1050,1,495,872,45,K393,307,386,130,10,99,449,7709,69,1.0,18013,230,FREDERICK DOUGLASS ACADEMY IV SECONDARY SCHOOL,2011,,76.6,467.0,1.9,17.6,0.4,84.4,13.9,0.4,51.6,48.4,34.5126835781,0,1,1
K455,3,175,590,815,780,387,382,1829,372,79,34,7252,83,438,518,936,14678,16,40.0,88,509,175,425,215,74,246,2723,312,1885,1.0,79,263,53,113,58,138,318,1,337,792,109,K455,307,513,108,164,290,450,5790,133,1.0,16892,210,BOYS AND GIRLS HIGH SCHOOL,2011,,68.6,1943.0,2.4,20.5,0.7,89.4,8.2,0.8,62.8,37.2,23.6315086782,0,0,1
K498,2,138,427,853,938,874,532,4389,373,80,34,6221,83,126,606,866,16753,16,0.0,3,304,138,351,286,75,93,2350,339,2801,2687.0,93,264,2,12,152,504,149,1,69,221,9,K498,307,906,60,258,195,454,5615,81,1.0,18897,177,ACORN HIGH SCHOOL FOR SOCIAL JUSTICE,2011,,88.0,413.0,4.6,18.9,0.2,76.0,23.5,0.0,48.7,51.3,63.8851802403,0,0,1
K534,2,108,380,1540,681,183,559,1856,372,81,34,10300,83,258,642,904,19899,16,0.0,497,393,108,333,504,73,412,3202,321,2895,0.0,14,264,2,12,407,912,1001,1,73,1517,10,K534,307,632,11,480,190,453,7977,130,1.0,22024,646,UPPER SCHOOL @ PS025,2011,,84.6,231.0,5.6,22.9,0.4,75.8,22.9,0.9,50.2,49.8,54.7396528705,0,1,0
K584,2,194,438,1091,746,1178,221,1010,375,87,34,10510,83,158,1077,648,19627,16,0.0,4,140,194,505,447,76,39,4310,476,2512,0.0,14,265,2,29,289,914,716,1,78,1249,26,K584,307,693,13,17,143,462,9477,87,1.0,21933,255,MS 584,2011,,91.8,224.0,2.2,27.2,0.0,86.2,11.6,0.9,54.0,46.0,76.6355140187,0,1,0
K594,2,58,536,1272,70,191,349,2353,368,71,34,8769,83,111,153,1268,15304,16,0.0,199,735,58,278,702,70,101,1303,268,1548,1.0,12,263,2,11,248,795,599,1,55,119,8,K594,307,589,67,7,88,439,7604,75,1.0,17360,180,GOTHAM PROFESSIONAL ARTS ACADEMY,2011,,63.9,279.0,2.2,12.9,1.8,79.6,17.9,0.4,39.8,60.2,20.0934579439,0,0,1
K627,2,81,907,1663,69,712,188,1462,367,77,34,6484,83,235,899,997,15504,16,0.0,619,277,81,247,522,69,200,3606,237,2208,0.0,8,264,2,10,28,1409,1308,1,50,1010,7,K627,307,527,5,11,193,444,3966,142,1.0,17534,751,BRIGHTER CHOICE COMMUNITY SCHOOL,2011,,85.1,138.0,4.3,10.1,0.0,76.8,21.7,0.7,52.2,47.8,56.1415220294,1,0,0
K628,2,59,276,1169,69,340,528,2588,363,69,34,8831,83,111,59,1516,15866,16,0.0,297,544,59,212,675,66,762,1129,202,2090,0.0,11,262,2,10,42,1289,339,1,36,375,7,K628,307,482,14,3,247,432,7242,54,1.0,17848,105,BROOKLYN BROWNSTONE SCHOOL,2011,,72.8,151.0,0.0,1.3,0.7,91.4,6.0,0.0,55.0,45.0,28.2376502003,1,0,0
K636,2,158,397,2034,798,426,188,1462,371,83,34,9400,83,179,501,997,18586,16,0.0,523,277,158,324,1223,72,192,3237,313,2295,0.0,14,265,2,12,320,915,1193,1,597,995,9,K636,307,474,26,7,101,454,7182,89,1.0,20704,421,YOUNG SCHOLARS' ACADEMY FOR DISCOVERY AND EXPLOR,2011,,99.1,214.0,9.3,12.1,1.4,59.3,38.3,0.9,52.3,47.7,98.1308411215,1,0,0
K688,2,149,250,816,518,854,310,1632,372,78,34,9325,83,233,642,943,17129,16,0.0,3,378,149,248,303,73,557,2270,238,2937,1.0,12,264,2,10,32,1719,443,1,60,431,8,K688,307,436,109,9,253,450,7780,185,1.0,19166,124,THE BROOKLYN ACADEMY OF GLOBAL FINANCE,2011,,72.3,144.0,3.5,16.7,0.0,69.4,27.8,1.4,54.9,45.1,27.4365821095,0,0,1
